Country,Date,Continent,TotalCases,TotalDeaths
Canada,2020-05-07,North America,64922,4408
Canada,2020-05-08,North America,66434,4569
Canada,2020-05-09,North America,67702,4693
Canada,2020-05-10,North America,68848,4870
Canada,2020-05-11,North America,69981,4993
Canada,2020-05-12,North America,71157,5169
Canada,2020-05-13,North America,72278,5302
Canada,2020-05-14,North America,73401,5472
Canada,2020-05-15,North America,74613,5562
Canada,2020-05-16,North America,75864,5679
Canada,2020-05-17,North America,77002,5782
Canada,2020-05-18,North America,78072,5842
Canada,2020-05-19,North America,79112,5912
Canada,2020-05-20,North America,80142,6031
Canada,2020-05-21,North America,81324,6152
Canada,2020-05-22,North America,82480,6250
Canada,2020-05-23,North America,83621,6355
Canada,2020-05-24,North America,84699,6424
Canada,2020-05-25,North America,85711,6545
Canada,2020-05-26,North America,86647,6639
Canada,2020-05-27,North America,87519,6765
Canada,2020-05-28,North America,88512,6877
Canada,2020-05-29,North America,89418,6979
Canada,2020-05-30,North America,90190,7073
Canada,2020-05-31,North America,90947,7295
Canada,2020-06-01,North America,91705,7326
Canada,2020-06-02,North America,92410,7395
Canada,2020-06-03,North America,93085,7498
Canada,2020-06-04,North America,93726,7637
Canada,2020-06-05,North America,94335,7703
Chile,2020-02-15,South America,0,0
Chile,2020-02-16,South America,0,0
Chile,2020-02-17,South America,0,0
Chile,2020-02-18,South America,0,0
Chile,2020-02-19,South America,0,0
Chile,2020-02-20,South America,0,0
Chile,2020-02-21,South America,0,0
Chile,2020-02-22,South America,0,0
Chile,2020-02-23,South America,0,0
Chile,2020-02-24,South America,0,0
Chile,2020-02-25,South America,0,0
Chile,2020-02-26,South America,0,0
Chile,2020-02-27,South America,0,0
Chile,2020-02-28,South America,0,0
Chile,2020-02-29,South America,0,0
Chile,2020-03-01,South America,0,0
Chile,2020-03-02,South America,0,0
Chile,2020-03-03,South America,1,0
Chile,2020-03-04,South America,3,0
Chile,2020-03-05,South America,4,0
Chile,2020-03-06,South America,5,0
Chile,2020-03-07,South America,7,0
Chile,2020-03-08,South America,10,0
Chile,2020-03-09,South America,13,0
Chile,2020-03-10,South America,17,0
Chile,2020-03-11,South America,23,0
Chile,2020-03-12,South America,33,0
Chile,2020-03-13,South America,43,0
Chile,2020-03-14,South America,61,0
Chile,2020-03-15,South America,75,0
Chile,2020-03-16,South America,156,0
Chile,2020-03-17,South America,201,0
Chile,2020-03-18,South America,238,0
Chile,2020-03-19,South America,342,0
Chile,2020-03-20,South America,434,0
Chile,2020-03-21,South America,537,1
Chile,2020-03-22,South America,632,1
Chile,2020-03-23,South America,746,2
Chile,2020-03-24,South America,922,2
Chile,2020-03-25,South America,1142,3
Chile,2020-03-26,South America,1306,4
Chile,2020-03-27,South America,1610,5
Chile,2020-03-28,South America,1909,6
Chile,2020-03-29,South America,2139,7
Chile,2020-03-30,South America,2449,8
Chile,2020-03-31,South America,2738,12
Chile,2020-04-01,South America,3031,16
Chile,2020-04-02,South America,3404,18
Chile,2020-04-03,South America,3737,22
Chile,2020-04-04,South America,4161,27
Chile,2020-04-05,South America,4471,34
Chile,2020-04-06,South America,4815,37
Chile,2020-04-07,South America,5116,43
Chile,2020-04-08,South America,5546,48
Chile,2020-04-09,South America,5972,57
Chile,2020-04-10,South America,6501,65
Chile,2020-04-11,South America,6927,73
Chile,2020-04-12,South America,7213,80
Chile,2020-04-13,South America,7525,82
Chile,2020-04-14,South America,7917,92
Chile,2020-04-15,South America,8273,94
Chile,2020-04-16,South America,8807,105
Chile,2020-04-17,South America,9252,116
Chile,2020-04-18,South America,9730,126
Chile,2020-04-19,South America,10088,133
Chile,2020-04-20,South America,10507,139
Chile,2020-04-21,South America,10832,147
Chile,2020-04-22,South America,11296,160
Chile,2020-04-23,South America,11812,168
Chile,2020-04-24,South America,12306,174
Chile,2020-04-25,South America,12858,181
Chile,2020-04-26,South America,13331,189
Chile,2020-04-27,South America,13813,198
Chile,2020-04-28,South America,14365,207
Chile,2020-04-29,South America,14885,216
Chile,2020-04-30,South America,16023,227
Chile,2020-05-01,South America,17008,234
Chile,2020-05-02,South America,18435,247
Chile,2020-05-03,South America,19663,260
Chile,2020-05-04,South America,20643,270
Chile,2020-05-05,South America,22016,275
Chile,2020-05-06,South America,23048,281
Chile,2020-05-07,South America,24581,285
Chile,2020-05-08,South America,25972,294
Chile,2020-05-09,South America,27219,304
Chile,2020-05-10,South America,28866,312
Chile,2020-05-11,South America,30063,323
Chile,2020-05-12,South America,31721,335
Chile,2020-05-13,South America,34381,346
Chile,2020-05-14,South America,37040,368
Chile,2020-05-15,South America,39542,394
Chile,2020-05-16,South America,41428,421
Chile,2020-05-17,South America,43781,450
Chile,2020-05-18,South America,46059,478
Chile,2020-05-19,South America,49579,509
Chile,2020-05-20,South America,53617,544
Chile,2020-05-21,South America,57581,589
Chile,2020-05-22,South America,61857,630
Chile,2020-05-23,South America,65393,673
Chile,2020-05-24,South America,69102,718
Chile,2020-05-25,South America,73997,761
Chile,2020-05-26,South America,77961,806
Chile,2020-05-27,South America,82289,841
Chile,2020-05-28,South America,86943,890
Chile,2020-05-29,South America,90638,944
Chile,2020-05-30,South America,94858,997
Chile,2020-05-31,South America,99688,1054
Chile,2020-06-01,South America,105159,1113
Chile,2020-06-02,South America,108686,1188
Chile,2020-06-03,South America,113628,1275
Chile,2020-06-04,South America,118292,1356
Chile,2020-06-05,South America,122499,1448
China,2020-01-20,Asia,278,0
China,2020-01-21,Asia,310,0
China,2020-01-22,Asia,571,17
China,2020-01-23,Asia,830,25
China,2020-01-24,Asia,1287,41
China,2020-01-25,Asia,1975,56
